"brand","name","size","price","currency","description","benefits","directions","ingredients","sku","categories","image_local","image_url","source_url","manual_review","review_notes"
"VitaDerm","Gentle Eye Make-Up Remover","50ml bottle with atomiser","158","ZAR","This Gentle Eye Make-up Remover is a mild, hypo-allergenic formulation that is highly suitable for the removal of water-resistant and smudge-proof eye make-up. It is formulated with calming and soothing phyto actives of chamomile and green tea and set at a pH of 5.6 to be especially gentle on the delicate eye area. It is recommended for those with sensitive eyes.","This Gentle Eye Make-up Remover is a mild, hypo-allergenic formulation that is highly suitable for the removal of water-resistant and smudge-proof eye make-up. It is formulated with calming and soothing phyto actives of chamomile and green tea and set at a pH of 5.6 to be especially gentle on the delicate eye area. It is recommended for those with sensitive eyes.","Use 3 – 5 sprays on a cotton wool pad. Hold in place over the eyelid for a few seconds, then gently wipe from the outside to the inside of the eyelid. May also be used to cleanse the face during the course of the day before re-application of make-up.","AQUA, NIACINAMIDE, PEG-7 GLYCERYL COCOATE, GLYCERETH-26, COCAMIDOPROPYL BETAINE, PANTHANOL, CAMILLIA SINENSIS (LEAF) EXTRACT, CHAMOMILLA MATRICARIA (FLOWER) EXTRACT, CITRIC ACID, PHENOXYETHANOL, ETHYLHEXYL GLYCERIN.","VR-GEMR50","Breakout-Prone Skin | Dehydrated Skin | Mature | Normal Combination | Sensitive | Uneven Skin Tone | Skincare","images/webp/gentle-eye-make-up-remover.webp","https://vitaderm.co.za/wp-content/uploads/2020/10/GEMR50.jpg","https://vitaderm.co.za/product/gentle-eye-make-up-remover/","false",""
"VitaDerm","Pre-Cleanse","100ml tube with flip cap","310","ZAR","The unique Pre-Cleanse applies as an oil-gel, but transforms into a milk with the addition of water. Pre-Cleanse is a completely water-soluble formulation that emulsifies and removes make-up and daily impurities from the skin. It is suitable for all skin types. It may be used prior to the normal cleansing routine or take the place of the cleanser. For oily skin types, it is recommended that the Mild Gel Cleanser is used after the Pre-Cleanse. Pre-cleanse is popular with men as a means with which to shave.","The unique Pre-Cleanse applies as an oil-gel, but transforms into a milk with the addition of water. Pre-Cleanse is a completely water-soluble formulation that emulsifies and removes make-up and daily impurities from the skin. It is suitable for all skin types. It may be used prior to the normal cleansing routine or take the place of the cleanser. For oily skin types, it is recommended that the Mild Gel Cleanser is used after the Pre-Cleanse. Pre-cleanse is popular with men as a means with which to shave.","To remove waterproof eye make-up, apply sparingly to a slightly damp cotton wool pad. Wipe eyelids gently from the outside to the inside, avoiding direct contact with the eyes. Repeat with clean, damp cotton wool. As a cleanser, apply to the face without the addition of water. Use gentle circular movements, then dampen the fingertips to emulsify the Pre-Cleanse. As soon as the water is added, the oil-gel will turn milky. Continue to add water. Remove with cotton wool or rinse off. Follow with appropriate toner or use the normal cleanser as a secondary cleanse.","VITIS VINIFERA (SEED) EXTRACT, PRUNUS DULCIS (SEED) EXTRACT, SIMMONDSIA CHINENSIS (SEED) EXTRACT, LECITHIN, FUMED SILICA, TOCOPHERYL ACETATE (VITAMIN E ANTI-OXIDANT).","VR-PRC100","Breakout-Prone Skin | Dehydrated Skin | Mature | Normal Combination | Skincare","images/webp/pre-cleanse.webp","https://vitaderm.co.za/wp-content/uploads/2020/10/PC100.jpg","https://vitaderm.co.za/product/pre-cleanse/","false",""
"VitaDerm","Gentle Cream Cleanser","200ml bottle with pump","410","ZAR","The aromatic Gentle Cream Cleanser contains lavender, chamomile and rosewood extracts. This creamy milk cleanser is gentle on the skin, while effectively removing daily pollution and make-up. The velvety texture leaves the skin feeling fresh and revitalised. Recommended for all skin types, including ultra-sensitive.","The aromatic Gentle Cream Cleanser contains lavender, chamomile and rosewood extracts. This creamy milk cleanser is gentle on the skin, while effectively removing daily pollution and make-up. The velvety texture leaves the skin feeling fresh and revitalised. Recommended for all skin types, including ultra-sensitive.","Apply this creamy milk cleanser to the skin using light circular movements. Remove with cotton wool or rinse off. It is preferable to remove eye make-up with the Gentle Eye Make-up Remover.","AQUA, CAPRYLIC/CAPRIC TRIGLYCERIDE, GLYCERYLSTEARATE, GLYCERIN, COCOGLYCERIDES, STEARIC ACID, PEG-100 STEARATE, POLYSORBATE-20, LAVENDULA OFFICINALIS (FLOWER) EXTRACT, MATRICARIA CAMOMILLA, ANIBA ROSEADORA (BARK) EXTRACT, PELARGONIUM GRAVEOLENS (LEAF) EXTRACT, CARBOMER, DISODIUM EDTA, PHENOXYETHANOL, ETHYLHEXYL GLYCERIN.","VR-GCC200","Dehydrated Skin | Mature | Sensitive | Skincare","images/webp/gentle-cream-cleanser.webp","https://vitaderm.co.za/wp-content/uploads/2020/10/GCC200.jpg","https://vitaderm.co.za/product/gentle-cream-cleanser/","false",""
"VitaDerm","Mild Gel Cleanser","200 ml","378","ZAR","This luxurious aromatic Mild Gel Cleanser contains sandalwood, lavender and petitgrain extracts. It effectively cleanses even the most sensitive skin without stripping the epidermis. This cleanser does not contain any sodium lauryl sulphate, but rather a plant-based foaming agent known as saponaria extract. Recommended for normal to oily skin types, or anyone who prefers a gel wash to a creamy cleanser.","This luxurious aromatic Mild Gel Cleanser contains sandalwood, lavender and petitgrain extracts. It effectively cleanses even the most sensitive skin without stripping the epidermis. This cleanser does not contain any sodium lauryl sulphate, but rather a plant-based foaming agent known as saponaria extract. Recommended for normal to oily skin types, or anyone who prefers a gel wash to a creamy cleanser.","","","VR-MGC200","Dehydrated Skin | Normal Combination | Sensitive | Skincare","images/webp/mild-gel-cleanser.webp","https://vitaderm.co.za/wp-content/uploads/2024/07/MGC200p.jpg","https://vitaderm.co.za/product/mild-gel-cleanser/","true","Directions not published; Ingredients not published"
"VitaDerm","Purifying Cleanser","150ml bottle with pump","310","ZAR","This refreshing, aromatic gel Purifying Cleanser contains botanical extracts of white thyme, tea tree, juniper berry and cedarwood which offer antiseptic and healing benefits. The addition of the fruit acid complex further assists in restoring the natural balance of problematic skin. It effectively removes excess sebum and impurities from the skin without stripping the epidermis. It furthermore assists in normalising skin that is prone to breakouts. This gel cleanser is ideal for clients prone to acne, as well as oily and congested skins.","This refreshing, aromatic gel Purifying Cleanser contains botanical extracts of white thyme, tea tree, juniper berry and cedarwood which offer antiseptic and healing benefits. The addition of the fruit acid complex further assists in restoring the natural balance of problematic skin. It effectively removes excess sebum and impurities from the skin without stripping the epidermis. It furthermore assists in normalising skin that is prone to breakouts. This gel cleanser is ideal for clients prone to acne, as well as oily and congested skins.","Using a small amount of gel, dampen the fingertips and work up a copious lather between the palms and apply using gentle circular movements. Rinse well. Follow with an application of the Antiseptic Toner and a moisturiser.","AQUA, COCOAMIDOPROPYL BETANE, LAURYL POLYGLUCOSE, SODIUM COCOAMPHOACETATE, SAPONARIA OFFICINALIS EXTRACT, GLYCERIN, PEG-90 GLYCERYL ISOSTEARATE, LAURETH-2, FRUIT ACID COMPLEX, JUNIPERUS OFFICINALIS (SEED) EXTRACT, CEDARA VIRGINIANA (STEM) EXTRACT, THYMUS VULGARIS (LEAF) EXTRACT, PINUS PALUSRIS (LEAF) EXTRACT, DISODIUM EDTA, PHENOXYETHANOL, ETHYLHEXYLGLYCERIN.","VR-PGC150","Breakout-Prone Skin | Skincare","images/webp/purifying-cleanser.webp","https://vitaderm.co.za/wp-content/uploads/2020/10/PC150.jpg","https://vitaderm.co.za/product/purifying-cleanser/","false",""
"VitaDerm","Nourishing Cream Cleanser","100ml tube with flip cap","315","ZAR","This aromatic Nourishing Cream Cleanser contains phyto extracts of avocado, grape seed, frankincense and palmarosa to gently remove daily pollutants and makeup, leaving the skin feeling conditioned and supple. It offers excellent emollient properties due to the addition of avocado extract. It thoroughly cleanses the skin, ensuring optimum skin conditioning. This Nourishing Cream Cleanser is highly recommended for dry and mature skin types.","This aromatic Nourishing Cream Cleanser contains phyto extracts of avocado, grape seed, frankincense and palmarosa to gently remove daily pollutants and makeup, leaving the skin feeling conditioned and supple. It offers excellent emollient properties due to the addition of avocado extract. It thoroughly cleanses the skin, ensuring optimum skin conditioning. This Nourishing Cream Cleanser is highly recommended for dry and mature skin types.","Apply to the skin using light circular movements. Remove with cotton wool or rinse off. It is preferable to remove eye make-up with Gentle Eye Make-up Remover. Follow with the application of the Conditioning Toner.","AQUA, GLYCERYL MONOSTEARATE, PERSEA AMERICANA (SEED) EXTRACT, VITIS VINIFERA (SEED) EXTRACT, GLYCINE MAX (SEED) EXTRACT, BUTYLENE GLYCOL, DISODIUM EDTA, TOCOPHERYL ACETATE (VITAMIN E), BOSWELLIA CARTERI (BARK) EXTRACT, CYMBOPOGON MARTINI (LEAF) EXTRACT, LAVENDULA OFFICINALIS (FLOWER) EXTRACT, PHENOXYETHANOL, ETHYLHEXYL GLYCERIN.","VR-NCC100","Skincare","images/webp/nourishing-cream-cleanser.webp","https://vitaderm.co.za/wp-content/uploads/2020/10/NCC100.jpg","https://vitaderm.co.za/product/nourishing-cream-cleanser/","false",""
"VitaDerm","Conditioning Toner","200ml bottle with atomiser","404","ZAR","This mild alcohol-free formulation contains botanical extracts of chamomile, palmarosa and geranium. It effectively removes all traces of cleanser and restores the acid pH level of the skin. The addition of magnesium ascorbyl phosphate (M.A.P), a Vitamin C derivative, offers outstanding anti-oxidant properties. Recommended for normal, dry and mature skins.","This mild alcohol-free formulation contains botanical extracts of chamomile, palmarosa and geranium. It effectively removes all traces of cleanser and restores the acid pH level of the skin. The addition of magnesium ascorbyl phosphate (M.A.P), a Vitamin C derivative, offers outstanding anti-oxidant properties. Recommended for normal, dry and mature skins.","Apply morning and evening using dry cotton wool, or spritz directly onto the skin after cleansing. For sensitive skin, apply using slightly damp cotton wool.","AQUA, BUTYLENE GLYCOL, POLYSORBATE 80, CETYL LACTATE, POE – 20 SORBITAN MONOLAURATE, AVOCADO EXTRACT, ALLANTOIN, MATRICARIA CAMOMILLA (FLOWER) EXTRACT, CYMBOPOGON MARTINI (LEAF) EXTRACT, PELARGONIUM GRAVEOLENS (LEAF) EXTRACT, MAGNESIUM ASCORBYL PHOSPHATE (M.A.P.), PHENOXYETHANOL, ETHYL HEXYL GLYCERIN.","VR-CT200","Dehydrated Skin | Mature | Skincare","images/webp/conditioning-toner.webp","https://vitaderm.co.za/wp-content/uploads/2020/10/CT200.jpg","https://vitaderm.co.za/product/conditioning-toner/","false",""
"VitaDerm","Regulating Toner","200ml bottle with atomiser","404","ZAR","This Regulating Toner is a mild alcohol-free formulation that contains botanical extracts of rosemary, ylang-ylang and witch hazel. It effectively removes all traces of cleanser and restores the acid pH level of the skin. The addition of magnesium ascorbyl phosphate (M.A.P.), a Vitamin C derivative, offers outstanding anti-oxidant properties.","This Regulating Toner is a mild alcohol-free formulation that contains botanical extracts of rosemary, ylang-ylang and witch hazel. It effectively removes all traces of cleanser and restores the acid pH level of the skin. The addition of magnesium ascorbyl phosphate (M.A.P.), a Vitamin C derivative, offers outstanding anti-oxidant properties.","","","VR-RT200","Dehydrated Skin | Normal Combination | Skincare","images/webp/regulating-toner.webp","https://vitaderm.co.za/wp-content/uploads/2020/10/RT200.jpg","https://vitaderm.co.za/product/regulating-toner/","true","Directions not published; Ingredients not published"
"VitaDerm","Antiseptic Toner","150ml bottle with atomiser","373","ZAR","This alcohol-free toner contains botanical extracts of juniper berry, cedarwood and tea tree which offers anti-bacterial and healing properties. The addition of the fruit acid complex further assists in restoring the natural balance of problematic skin. Recommended for acne-prone, oily and congested skin.","This alcohol-free toner contains botanical extracts of juniper berry, cedarwood and tea tree which offers anti-bacterial and healing properties. The addition of the fruit acid complex further assists in restoring the natural balance of problematic skin. Recommended for acne-prone, oily and congested skin.","Apply morning and evening using damp cotton wool, or spritz directly onto the skin after cleansing.","AQUA, GLYCERIN, POLYSORBATE 80, MONOLAURATE, ALLANTOIN, FRUIT ACID COMPLEX, CEDARA VIRGINIANA (STEM) EXTRACT, JUNIPERUS OFFICINALIS (SEED) EXTRACT, MELALEUCA ALTERNIFOLIA (LEAF) EXTRACT, MAGNESIUM ASCORBYL PHOSPHATE, PHENOXYETHANOL, ETHYLHEXYL GLYCERIN.","VR-AT150","Breakout-Prone Skin | Skincare","images/webp/antiseptic-toner.webp","https://vitaderm.co.za/wp-content/uploads/2020/10/AT150.jpg","https://vitaderm.co.za/product/antiseptic-toner/","false",""
"VitaDerm","Pore Minimising Gel","60ml tube with flip cap","473","ZAR","This oil-free Pore Minimising Gel contains a mastic extract that assists in relieving the symptoms associated with oily, problem skin, by refining the pores and reducing oiliness. The addition of Vitamin B3 further boosts the clarifying effect. It may be used in the morning and/or evening. Men love the matte effect of this product and find it particularly soothing after shaving, due to the addition of sandalwood extract. In the case of acne-prone skin types, the Pore Minimising Gel is recommended for daytime use. The Purifying Treatment Cream is the ideal complement for night time use.","This oil-free Pore Minimising Gel contains a mastic extract that assists in relieving the symptoms associated with oily, problem skin, by refining the pores and reducing oiliness. The addition of Vitamin B3 further boosts the clarifying effect. It may be used in the morning and/or evening. Men love the matte effect of this product and find it particularly soothing after shaving, due to the addition of sandalwood extract. In the case of acne-prone skin types, the Pore Minimising Gel is recommended for daytime use. The Purifying Treatment Cream is the ideal complement for night time use.","Apply the Pore Minimising Gel to a cleansed and toned skin. It may be used in the morning and/or evening.","AQUA, GLYCERIN, GLUCAM E-20, POLY-SORBATE 20, CARBOMER, ALOE BARBADENSIS (LEAF) EXTRACT, HAMAMELIS VIRGINIANA (BARK) EXTRACT, SANTALUM ALBUM (BARK) EXTRACT, PISTACIALENTISCUS (BARK) EXTRACT, NIACINAMIDE (VIT B3), DISODIUM EDTA, PHENOXYETHANOL, ETHYLHEXYL GLYCERIN.","VR-PMG60","Breakout-Prone Skin | Skincare","images/webp/pore-minimising-gel.webp","https://vitaderm.co.za/wp-content/uploads/2020/10/PMG60.jpg","https://vitaderm.co.za/product/pore-minimising-gel/","false",""
